dtitle,author,publisher,publishDate,imageUrl,idBook,pages,language,isValid,price,rating,description,stock,category,idUser,issold
Nights Below Station Street,David Adams Richards,Emblem Editions,1988,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,11,151,Spanish,APPROVED,8.21,4,Ten director good low hospital leader yet. Magazine want ground night action real hundred.,78,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,Citadel Press,2000,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,12,255,Spanish,APPROVED,25.54,4,Respond participant she wonder fine generation. Participant nation information boy they these. Would pick first general use we argue.,59,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Middle Stories,Sheila Heti,House of Anansi Press,2004,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,13,313,English,APPROVED,42.46,4,Owner western hear raise customer story his. Wait television water society view father today. End bank since hundred tend power board.,70,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Jane Doe,R. J. Kaiser,Mira Books,1999,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,14,188,Spanish,APPROVED,25.7,5,"Accept them writer not.
Yeah capital against training forget name many. Her international impact recently.",68,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,Health Communications,1998,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,15,405,Spanish,APPROVED,29.84,2,Particularly cup record could thousand. Population side American southern dark life.,42,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,Brilliance Audio - Trade,1998,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,16,326,French,APPROVED,28.45,2,"I it federal bad during. Series unit song consider.
Others nation with. Wonder huge value small kid who find pass.",17,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,Kensington Publishing Corp.,1999,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,17,897,English,APPROVED,49.76,4,Military money form job well thing last. Fly lay for. Accept tough end growth.,84,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Goodbye to the Buttermilk Sky,Julia Oliver,River City Pub,1994,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,18,982,English,APPROVED,22.77,4,Force move present right size. Most group daughter concern. Throughout head media Republican order western impact.,39,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Testament,John Grisham,Dell,1999,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,19,504,Spanish,APPROVED,27.6,5,"Then miss better structure couple world staff.
How western these century rest concern tend suddenly. After thank price phone back.",84,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Beloved (Plume Contemporary Fiction),Toni Morrison,Plume,1994,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,20,335,Spanish,APPROVED,25.49,2,Key although do six speech financial. Fast whatever member often politics.,36,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,Three Rivers Press,1999,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,21,954,Spanish,APPROVED,12.9,5,Soldier power force foreign serious you read writer.,8,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,Ryland Peters &amp; Small Ltd,2001,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,22,675,English,APPROVED,8.58,4,Set sit explain type example. Commercial answer message feel. Player bring guy its whom moment animal.,60,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,Cypress House,2003,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,23,841,French,APPROVED,49.63,3,Better data officer employee son wait. Thus gun carry agent hair ball.,32,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,HarperEntertainment,2000,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg,24,902,Spanish,APPROVED,27.87,2,Per capital contain reality forget certainly. Them brother town short force. Former level experience democratic one. Dark city will better.,14,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Tell Me This Isn't Happening,Robynn Clairday,Scholastic,1999,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,25,417,Spanish,APPROVED,25.78,3,Media increase skin risk class provide agree. Sometimes detail tonight describe street. Still work factor single must.,81,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Flood : Mississippi 1927,Kathleen Duey,Aladdin,1998,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg,26,521,English,APPROVED,17.77,1,Page day president couple. Food industry attention. Four develop easy head reflect live.,79,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Wild Animus,Rich Shapero,Too Far,2004,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,27,689,Spanish,APPROVED,42.17,3,Change authority staff hotel might quickly. Trouble occur create seem happy happy. Line though natural others wide sound why spring.,5,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Airframe,Michael Crichton,Ballantine Books,1997,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,28,182,English,APPROVED,30.1,3,Reduce eight type matter central option.,100,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Timeline,MICHAEL CRICHTON,Ballantine Books,2000,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,29,757,English,APPROVED,12.11,4,But author sense but street much bed. Either measure appear tend agent meeting whose yard. Contain forward always campaign.,8,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
OUT OF THE SILENT PLANET,C.S. Lewis,Scribner,1996,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,30,933,Spanish,APPROVED,23.87,5,Your stand personal set study offer. Sign hit man off charge class.,77,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Prague : A Novel,ARTHUR PHILLIPS,Random House Trade Paperbacks,2003,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,31,986,French,APPROVED,25.77,5,Official position prepare opportunity area major.,51,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Chocolate Jesus,Stephan Jaramillo,Berkley Publishing Group,1998,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,32,387,English,APPROVED,9.36,4,Majority within before conference southern certain little. Though wife doctor citizen stay. View with affect ever economic look such.,38,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Wie Barney es sieht.,Mordecai Richler,LÃ?Â¼bbe,2002,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg,33,222,Spanish,APPROVED,34.24,5,Ball role probably smile bit important trip. There agency perhaps create system prepare.,33,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,Goldmann,2001,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg,34,199,English,APPROVED,40.6,5,Week figure beautiful head ago election rich. Something cold decade four arrive whom early reveal.,97,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Sturmzeit. Roman.,Charlotte Link,Goldmann,1991,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,35,493,Spanish,APPROVED,45.15,1,Than big federal radio information address.,46,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Tage der Unschuld.,Richard North Patterson,Goldmann,2000,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg,36,924,Spanish,APPROVED,47.43,1,Election oil material fall help if manage. Go science all success yeah. His quickly energy including.,16,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Lying Awake,Mark Salzman,Alfred A. Knopf,2000,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,37,501,English,APPROVED,46.62,2,Fast minute into support culture campaign record. Argue force mission itself then when final. Surface measure remain room southern.,61,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
To Kill a Mockingbird,Harper Lee,Little Brown &amp; Company,1988,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,38,102,Spanish,APPROVED,44.48,3,Under the million medical build week they condition. By across catch prepare computer life. Smile use new above.,57,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Seabiscuit: An American Legend,LAURA HILLENBRAND,Ballantine Books,2002,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,39,339,English,APPROVED,39.36,1,Push which just. Town practice the cup. Attorney special around let beautiful sign each significant.,54,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Pigs in Heaven,Barbara Kingsolver,Harpercollins,1993,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,40,340,French,APPROVED,28.81,5,Nor pass public know happen. Save six they trip information inside main. Year modern somebody news. Name friend manager protect allow.,39,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Miss Zukas and the Raven's Dance,Jo Dereske,Avon,1996,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,41,700,French,APPROVED,22.07,4,Month power ago anyone picture nearly memory any. Stay year form sign either.,68,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Pride and Prejudice,Jane Austen,Bantam,1983,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,42,221,English,APPROVED,31.97,1,Wrong unit debate fear phone population.,6,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,Fireside,1979,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,43,360,French,APPROVED,22.47,3,"Meet garden beat husband many. They can those partner same stop.
Speak land condition heavy. Upon base man.",2,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Downtown,Anne Rivers Siddons,HarperTorch,1995,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,44,829,French,APPROVED,24.83,4,Listen particular realize parent. Green model likely even painting room.,20,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Icebound,Dean R. Koontz,Bantam Books,2000,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,45,299,English,APPROVED,11.54,4,National always site book add meeting popular. Decide later popular someone. Hear common capital firm first.,47,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
I'll Be Seeing You,Mary Higgins Clark,Pocket,1994,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,46,637,French,APPROVED,34.55,5,"History green past. Bar general month.
Day yes month support want degree. Six simply trial but fire couple not.",45,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
From the Corner of His Eye,Dean Koontz,Bantam Books,2001,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,47,886,Spanish,APPROVED,35.19,1,Whom morning expect. House face serious truth. Study significant season site whatever budget.,46,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Isle of Dogs,Patricia Cornwell,Berkley Publishing Group,2002,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,48,657,Spanish,APPROVED,41.69,4,Yes community institution though network. Likely what do shoulder. Position buy interview today one marriage particular.,56,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Purity in Death,J.D. Robb,Berkley Publishing Group,2002,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,49,769,Spanish,APPROVED,13.77,4,Particular debate forward ball process me race.,22,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
This Year It Will Be Different: And Other Stories,Maeve Binchy,Dell,1997,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,50,103,Spanish,APPROVED,44.59,2,Less everything feel than professional gun sign. History kitchen write return before choose enjoy. Democrat once push amount.,44,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Proxies,Laura J. Mixon,Tor Books,1999,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg,51,516,Spanish,APPROVED,31.9,3,Success require bank. Half senior statement huge individual reveal. Game Mrs community impact pay word style.,90,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,Tyndale House Publishers,2000,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,52,779,Spanish,APPROVED,32.77,5,As answer sign eye. Though enter whatever interest. Thousand as house everyone product.,48,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Street Lawyer,JOHN GRISHAM,Dell,1999,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,53,229,English,APPROVED,48.49,1,About thing white future major less top senior. Set difficult picture mean short positive back parent.,79,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
"Love, Medicine and Miracles",M.D. Bernie S. Siegel,HarperCollins Publishers,1988,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg,54,687,English,APPROVED,45.69,4,Environmental project be result identify difficult phone. On reveal generation purpose tonight. Life cultural know machine administration.,73,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
All the King's Men,Robert Penn Warren,Harvest Books,1982,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg,55,708,French,APPROVED,10.55,2,Become much to style. Pattern high quickly serious. West clearly peace able notice people. Green instead red left officer measure perhaps.,57,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Pacific Northwest,Hans Johannes Hoefer,Chambers Harrap Publishers Ltd,1985,http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg,56,262,English,APPROVED,37.0,2,"People agree present suddenly member. Save its condition before edge mind.
Begin field laugh long. Cut against serve degree.",50,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
A Soldier of the Great War,Mark Helprin,Avon Books,1992,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,57,185,Spanish,APPROVED,12.92,5,Economy evening both student industry notice hit. Carry recognize buy thank strong.,60,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Getting Well Again,O. Carol Simonton Md,Bantam,1992,http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg,58,717,Spanish,APPROVED,8.51,2,Think only country value east how. Detail material save.,98,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Northwest Wines and Wineries,Chuck Hill,Speed Graphics,1993,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg,59,336,English,APPROVED,41.72,4,"Power piece charge let indicate article after. Music it note beyond star training.
Fish fire only argue actually strong bill. Bed measure pick.",30,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
An Atmosphere of Eternity: Stories of India,David Iglehart,Sunflower Press,2002,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg,60,385,Spanish,APPROVED,28.93,3,Fish tend off reveal Democrat age kind. Wish since seem light identify serve big.,76,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
LONESOME DOVE,Larry McMurtry,Pocket,1986,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg,61,417,French,APPROVED,48.27,4,"Four way my big choose loss. Successful begin yeah such. Allow body quality thank.
Artist main fact instead protect. Year consider policy him teach.",70,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,Laurel Leaf,1991,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg,62,337,English,APPROVED,43.48,2,Author truth approach well technology travel continue. Two trade medical upon for hundred. Doctor threat probably rest for head.,68,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,Laurel Leaf,1995,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg,63,192,English,APPROVED,27.09,3,"Threat bit technology law. Mrs lot skin anything east we.
Heavy maintain rather wind tree PM still trip. Ago material public.",97,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Lieux dits,Michel Tournier,Gallimard,2002,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg,64,363,French,APPROVED,26.58,2,"Whose tend follow political science population. Upon true lawyer material close front.
Letter social those south night.
Choice continue level see.",85,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,Ballantine Books,1978,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg,65,467,English,APPROVED,45.77,5,Practice usually recent. Quality edge perhaps black model full our. Newspaper party begin movie.,24,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The yawning heights,Aleksandr Zinoviev,Random House,1980,http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg,66,674,Spanish,APPROVED,48.08,5,Friend own best speech. Least individual station everybody center out customer.,65,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Breathing Lessons,Anne Tyler,Berkley Publishing Group,1994,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,67,745,Spanish,APPROVED,44.03,1,Herself network question resource course interest program sister. Game movie goal write ball.,61,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Joy Luck Club,Amy Tan,Prentice Hall (K-12),1994,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,68,329,French,APPROVED,32.78,4,"Eat summer property bar fall read. Service still yet eye.
Knowledge development president door Democrat avoid. Write century southern full just.",44,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Heart of Darkness (Wordsworth Collection),Joseph Conrad,NTC/Contemporary Publishing Company,1998,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,69,556,Spanish,APPROVED,6.98,1,None offer know civil identify real. Parent cause institution product. Second or page.,87,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Angel Is Near,Deepak Chopra,St. Martin's Press,2000,http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg,70,656,English,APPROVED,47.58,2,"List almost million itself just writer between. Expect attack find wide conference this speak.
Media method number operation finish war.",79,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,NTC/Contemporary Publishing Company,1997,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,71,550,French,APPROVED,34.57,4,"Five occur our.
Structure agree occur may measure relate. East agent hope have bad old just.",31,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,1stBooks Library,2003,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg,72,427,French,APPROVED,12.49,5,Long community offer perhaps. Night field hair church. Effect chair drop interesting between election.,74,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Accidental Virgin,Valerie Frankel,Avon Trade,2003,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg,73,420,French,APPROVED,13.06,2,"Analysis similar central small most standard. Million article kitchen beat when describe.
Than music beautiful alone prove measure dream.",89,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Tao of Pooh,Benjamin Hoff,Penguin Books,1983,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,74,609,English,APPROVED,23.19,3,Expect whether month possible. Collection central card major color.,39,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Seabiscuit,LAURA HILLENBRAND,Ballantine Books,2003,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,75,588,French,APPROVED,36.8,2,Avoid under west travel trip work us. Capital image eat price never suddenly.,2,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Prince,Niccolo Machiavelli,Signet Book,1952,http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg,76,847,English,APPROVED,32.87,3,Edge need plan move so pull their. Need cup partner.,51,FANTASY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,Thomas Nelson,1991,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg,77,230,French,APPROVED,10.74,2,Close that which everything. May family month sport. Always include avoid necessary people option mouth.,39,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Starship Troopers,Robert A. Heinlein,Ace Books,1987,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg,78,533,English,APPROVED,46.65,1,Behavior attorney hit major including. Identify car citizen.,58,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,Laurel Leaf,1988,http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg,79,736,Spanish,APPROVED,14.17,2,Message decade technology forget really charge. Light bank decide somebody down.,85,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Black Beauty (Illustrated Classics),Anna Sewell,Landoll,1995,http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg,80,968,Spanish,APPROVED,19.99,3,Defense wrong let discuss send. War charge movie nature certainly send yet exactly.,100,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Anil's Ghost,MICHAEL ONDAATJE,Knopf,2000,http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg,81,560,Spanish,APPROVED,35.39,3,Decide budget since. Happen knowledge three wife far but through by. Training action believe so project during.,78,HISTORICAL_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Prescription for Terror,Sandra Levy Ceren,Andrew Scott Publishers,1999,http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg,82,776,French,APPROVED,13.37,1,Unit hold its drug. Sometimes series seat wrong.,58,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,Atlantic Monthly Press,1990,http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg,83,563,Spanish,APPROVED,37.93,4,Two student itself leg note teach nothing. Strategy investment political picture trouble might decision.,100,YOUNG_ADULT,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Turning Thirty,Mike Gayle,Hodder &amp; Stoughton General Division,2000,http://images.amazon.com/images/P/0340767936.01.LZZZZZZZ.jpg,84,142,French,APPROVED,26.49,1,New third store college. Science heart business resource in. Response agreement station at.,47,SCIENCE_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Decipher,Stel Pavlou,Simon &amp; Schuster (Trade Division),2002,http://images.amazon.com/images/P/0743403843.01.LZZZZZZZ.jpg,85,821,French,APPROVED,25.51,4,Thus with course detail. Increase school well explain. Toward stand while heart how. Treat hope voice live job.,59,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
